Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
1,0,2020-02-29,1,0,0,0,0,0
2,0,2020-03-01,1,0,0,0,0,0
2,0,2020-03-02,0,0,0,0,0,0
2,0,2020-03-03,0,0,0,0,0,0
2,0,2020-03-04,0,0,0,0,0,0
7,0,2020-03-05,5,0,0,0,0,0
8,0,2020-03-06,1,0,0,0,0,0
10,0,2020-03-07,2,0,0,0,0,0
15,0,2020-03-08,5,0,0,0,0,0
19,0,2020-03-09,4,0,0,0,0,0
25,0,2020-03-10,6,0,0,0,0,0
25,0,2020-03-11,0,0,0,0,0,0
52,0,2020-03-12,27,0,0,0,0,0
102,0,2020-03-13,50,1,0,0,0,0
121,0,2020-03-14,19,2,0,0,0,0
168,0,2020-03-15,47,3,0,0,0,0
325,0,2020-03-16,157,4,0,0,0,0
442,0,2020-03-17,117,5,0,0,0,0
474,0,2020-03-18,32,6,0,0,0,0
637,0,2020-03-19,163,7,0,0,0,0
801,1,2020-03-20,164,8,1,0,0,0
938,1,2020-03-21,137,9,0,0,0,0
1053,2,2020-03-22,115,10,1,0,0,0
1177,2,2020-03-23,124,11,0,0,0,0
1370,5,2020-03-24,193,12,3,1,0,0
1591,5,2020-03-25,221,13,0,2,0,0
1816,6,2020-03-26,225,14,1,3,0,0
1971,8,2020-03-27,155,15,2,4,0,0
2212,11,2020-03-28,241,16,3,5,0,0
2396,12,2020-03-29,184,17,1,6,0,0
2584,18,2020-03-30,188,18,6,7,0,0
2726,19,2020-03-31,142,19,1,8,0,0
2899,23,2020-04-01,173,20,4,9,0,0
3132,26,2020-04-02,233,21,3,10,0,0
3362,26,2020-04-03,230,22,0,11,0,0
3504,29,2020-04-04,142,23,3,12,0,0
3663,32,2020-04-05,159,24,3,13,0,0
3882,32,2020-04-06,219,25,0,14,0,0
3992,34,2020-04-07,110,26,2,15,0,0
4148,45,2020-04-08,156,27,11,16,0,0
4336,50,2020-04-09,188,28,5,17,0,0
4440,51,2020-04-10,104,29,1,18,0,0
4622,59,2020-04-11,182,30,8,19,0,0
4734,64,2020-04-12,112,31,5,20,0,0
4810,68,2020-04-13,76,32,4,21,0,0
4880,70,2020-04-14,70,33,2,22,0,0
5004,77,2020-04-15,124,34,7,23,0,0
5087,87,2020-04-16,83,35,10,24,0,0
5211,92,2020-04-17,124,36,5,25,0,0
5324,99,2020-04-18,113,37,7,26,0,0
5432,106,2020-04-19,108,38,7,27,0,0
5523,107,2020-04-20,91,39,1,28,0,0
5561,116,2020-04-21,38,40,9,29,0,0
5593,122,2020-04-22,32,41,6,30,0,0
5643,131,2020-04-23,50,42,9,31,0,0
5731,136,2020-04-24,88,43,5,32,0,0
5767,138,2020-04-25,36,44,2,33,0,0
5835,147,2020-04-26,68,45,9,34,0,0
5879,152,2020-04-27,44,46,5,35,0,0
5928,157,2020-04-28,49,47,5,36,0,0
5982,161,2020-04-29,54,48,4,37,0,0
6029,166,2020-04-30,47,49,5,38,0,0
6086,172,2020-05-01,57,50,6,39,0,0
6099,173,2020-05-02,13,51,1,40,0,0
6133,176,2020-05-03,34,52,3,41,0,0
6150,177,2020-05-04,17,53,1,42,0,0
6160,182,2020-05-05,10,54,5,43,0,0
6191,187,2020-05-06,31,55,5,44,0,0
6213,189,2020-05-07,22,56,2,45,0,0
6241,192,2020-05-08,28,57,3,46,0,0
6282,195,2020-05-09,41,58,3,47,0,0
6291,195,2020-05-10,9,59,0,48,0,0
6313,195,2020-05-11,22,60,0,49,0,0
6355,206,2020-05-12,42,61,11,50,0,0
6360,207,2020-05-13,5,62,1,51,0,0
6382,212,2020-05-14,22,63,5,52,0,0
6413,213,2020-05-15,31,64,1,53,0,0
6449,216,2020-05-16,36,65,3,54,0,0
6449,216,2020-05-17,0,66,0,55,0,0
6490,217,2020-05-18,41,67,1,56,0,0
6520,222,2020-05-19,30,68,5,57,0,0
6529,222,2020-05-20,9,69,0,58,0,0
6555,224,2020-05-21,26,70,2,59,0,0
6566,224,2020-05-22,11,71,0,60,0,0
6582,226,2020-05-23,16,72,2,61,0,0
6590,227,2020-05-24,8,73,1,62,0,0
6596,228,2020-05-25,6,74,1,63,0,0
6600,228,2020-05-26,4,75,0,64,0,0
6611,229,2020-05-27,11,76,1,65,0,0
6652,230,2020-05-28,41,77,1,66,0,0
6673,230,2020-05-29,21,78,0,67,0,0
6695,230,2020-05-30,22,79,0,68,0,0
6694,230,2020-05-31,-1,80,0,69,0,0
6703,230,2020-06-01,9,81,0,70,0,0
6704,230,2020-06-02,1,82,0,71,0,0
6712,230,2020-06-03,8,83,0,72,0,0
6719,230,2020-06-04,7,84,0,73,0,0
6732,230,2020-06-05,13,85,0,74,0,0
6761,230,2020-06-06,29,86,0,75,0,0
6775,230,2020-06-07,14,87,0,76,0,0
6781,230,2020-06-08,6,88,0,77,0,0
6787,230,2020-06-09,6,89,0,78,0,0
